"match_id","id","total_goals","supremacy","draw_factor","expH","expA"
3890548,"bundesliga294",3.08,-1.97,1.12,0.55100993213168,2.52416674152003
3890550,"bundesliga295",3.3,0.81,1.07,2.05508060382391,1.24118157922501
3890549,"bundesliga296",3.28,0.91,1.09,2.09639725656673,1.18760192065365
3890552,"bundesliga297",3.4,0.44,1.15,1.92124167002047,1.47744923673009
3890564,"bundesliga298",3.01,0.59,1.1,1.80172498152898,1.20819921250777
3890559,"bundesliga299",3.98,2.65,0.77,3.31809952632171,0.666184860322258
3890262,"bundesliga3",2.49,0.05,1.1,1.27090999382778,1.21637898980704
3890289,"bundesliga30",2.8,0.45,1.1,1.62361831171472,1.17287086389273
3890560,"bundesliga300",3.19,-0.64,1.12,1.27296495545442,1.91491498544537
3890562,"bundesliga301",3.68,1.98,0.98,2.83040410814387,0.853197260512708
3890561,"bundesliga302",3.45,-0.5,1.08,1.4747130789435,1.97799714147434
3890563,"bundesliga303",3.32,1.02,1.16,2.16791528854977,1.15277934101263
3890558,"bundesliga304",2.9,0.56,1.15,1.72882318157177,1.1714906015984
3890557,"bundesliga305",3.21,0.66,1.17,1.93377761640501,1.27272715933014
3890556,"bundesliga306",3.62,0.4,1.03,2.0092317706856,1.61078941536825
3890292,"bundesliga31",3.16,-1.5,1.06,0.829721061366791,2.32901355432527
3890290,"bundesliga32",2.79,0.07,1.08,1.42933097273819,1.35943995039578
3890291,"bundesliga33",2.89,-0.62,1.15,1.13725140523486,1.75588276817675
3890288,"bundesliga34",3.05,1.89,1.07,2.46839603251443,0.583037902969353
3890294,"bundesliga35",3.18,0.59,1.14,1.88691640464877,1.29625499751141
3890293,"bundesliga36",2.84,0.84,1.08,1.84253430476287,1.00126548718348
3890295,"bundesliga37",3.09,0.27,1.12,1.6842662677826,1.40992915095772
3890296,"bundesliga38",3.07,-1.93,1.09,0.568080552602013,2.50120188812122
3890299,"bundesliga39",2.63,0.13,1.09,1.3821601372488,1.25255395327028
3890261,"bundesliga4",2.77,1.01,1.05,1.8871871183202,0.88046677791316
3890297,"bundesliga40",3.1,0.14,1.17,1.62284348819688,1.47803496623319
3890300,"bundesliga41",2.85,0.56,1.15,1.70604675457714,1.14474140846659
3890298,"bundesliga42",2.89,0.92,1.13,1.90433732481032,0.987529218120233
3890302,"bundesliga43",2.63,0.46,1.08,1.54126920675731,1.08598583211976
3890301,"bundesliga44",3,0.92,1.09,1.95735667825995,1.04153568504709
3890303,"bundesliga45",3.1,0.19,1.13,1.64587199437609,1.45720617172553
3890305,"bundesliga46",3.17,1.85,1,2.5115257934697,0.661875557236458
3890307,"bundesliga47",2.53,-0.17,1.04,1.17928145028378,1.34801029464199
3890306,"bundesliga48",2.46,0.14,1.03,1.30333933238163,1.15964383333551
3890304,"bundesliga49",2.44,0.23,1.08,1.33354562802046,1.10637308993566
3890260,"bundesliga5",3.16,1.34,1.1,2.25339536694831,0.909589055200771
3890309,"bundesliga50",2.99,-0.22,1.1,1.38401849956701,1.60299294742716
3890310,"bundesliga51",3.39,-1.59,1.07,0.901623305855826,2.48937697739914
3890312,"bundesliga52",2.98,1.23,1.06,2.10481748142472,0.879683720075008
3890308,"bundesliga53",2.61,0.45,1.09,1.52984970685748,1.07831555950321
3890311,"bundesliga54",3.22,0.54,1.15,1.88423540236667,1.34040234727244
3890313,"bundesliga55",2.37,0.44,1.04,1.40815562811966,0.963557005651645
3890314,"bundesliga56",2.86,0.23,1.08,1.54535058862736,1.31531142729369
3890317,"bundesliga57",2.74,-0.07,1.04,1.3352948823077,1.40814134760917
3890316,"bundesliga58",3.16,-1.94,1.01,0.611318157970011,2.54824637983941
3890318,"bundesliga59",3.05,0.48,1.14,1.7657455579259,1.2879266473033
3890263,"bundesliga6",2.61,0.59,1.08,1.5994509765489,1.01131381757155
3890315,"bundesliga60",2.88,-0.58,1.06,1.14623281149469,1.72882396427767
3890319,"bundesliga61",3.09,1.37,1.09,2.23217014964279,0.861774692554031
3890321,"bundesliga62",3.46,2.44,0.98,2.94984626837371,0.508225200451264
3890320,"bundesliga63",2.84,0.56,1.11,1.70208696631584,1.14000343823354
3890322,"bundesliga64",2.47,-0.19,1.05,1.1378818406517,1.3323220777172
3890325,"bundesliga65",2.88,0.22,1.1,1.54676783728159,1.33173813711755
3890324,"bundesliga66",2.5,0.31,1.1,1.40242477444306,1.09655733431901
3890327,"bundesliga67",3.3,0.14,1.13,1.72070777528923,1.57995117783972
3890326,"bundesliga68",2.61,0.08,1.08,1.3448709353422,1.26733342682547
3890323,"bundesliga69",2.92,-0.05,1.12,1.43236941137892,1.4853274361847
3890264,"bundesliga7",2.9,-0.3,1.07,1.30168457649696,1.59908102883941
3890329,"bundesliga70",3.17,1.23,1.11,2.20131357400544,0.972414441616833
3890330,"bundesliga71",3.04,1.44,1.04,2.23660380364124,0.801535124456827
3890328,"bundesliga72",2.91,0.87,1.1,1.89062120816684,1.02096392326837
3890331,"bundesliga73",3.31,-1.4,1.09,0.957564146985265,2.35504815698987
3890333,"bundesliga74",2.55,0.69,1.1,1.61760342113404,0.927409327321131
3890334,"bundesliga75",2.87,0.04,1.1,1.45423031396761,1.41088177878753
3890337,"bundesliga76",2.67,-0.71,1.06,0.977900677641651,1.68961029709363
3890336,"bundesliga77",2.86,0.62,1.12,1.74035529706626,1.11999871181526
3890332,"bundesliga78",3.47,-2.23,1.02,0.619279130783398,2.84609898186003
3890335,"bundesliga79",3.28,1.14,1.13,2.21187479736548,1.06963540208483
3890266,"bundesliga8",2.54,0.46,1.03,1.49836851649306,1.03888021422542
3890339,"bundesliga80",2.65,0.74,1.07,1.69279671461895,0.952782674309674
3890338,"bundesliga81",2.86,0.76,1.09,1.80737420333928,1.04954894478838
3890340,"bundesliga82",2.83,0.61,1.08,1.71957832900914,1.11261976643167
3890341,"bundesliga83",3.53,2.45,0.97,2.98883681890347,0.538739754678822
3890342,"bundesliga84",2.69,-0.72,1.13,0.985000226317506,1.70666557060474
3890345,"bundesliga85",2.94,0.04,1.14,1.48890513725019,1.45141333727507
3890343,"bundesliga86",2.34,0.1,1.03,1.2240511936127,1.1207380940905
3890346,"bundesliga87",3.28,1.31,1.07,2.29340425057125,0.986645594145628
3890344,"bundesliga88",3.05,0.56,1.11,1.80489750507302,1.24120958823944
3890347,"bundesliga89",3.54,2.09,1.01,2.81515166736119,0.728861715787022
3890267,"bundesliga9",3.33,1.41,1.05,2.37020652666465,0.958603204799613
3890348,"bundesliga90",2.97,0.37,1.1,1.668800064567,1.30297051582048
3890349,"bundesliga91",3.6,-2.31,1.01,0.643439330552973,2.95733713704957
3890354,"bundesliga92",2.79,0.35,1.11,1.57328754024033,1.21844364715782
3890352,"bundesliga93",2.84,0.39,1.13,1.61610416466841,1.22286075271927
3890351,"bundesliga94",2.63,0,1.09,1.31435679769671,1.31724063921674
3890355,"bundesliga95",2.65,0.83,1.11,1.74130746377298,0.911032705961517
3890353,"bundesliga96",3.4,-1.56,1.07,0.917491439059176,2.47751389428028
3890350,"bundesliga97",2.93,-0.16,1.07,1.38658940401334,1.54814836146045
3890356,"bundesliga98",2.49,0.47,1.09,1.47934305462552,1.0058867442435
3890357,"bundesliga99",2.93,0.99,1.11,1.96245610996059,0.967900476942925
3825562,"laliga4181",2.74,-0.25,1.1,1.24506695306306,1.49705411941105
3825563,"laliga4182",2.76,1.84,1.05,2.30162024063559,0.461599963268511
3825565,"laliga4183",2.31,0.5,1.1,1.40096086744216,0.905350749895686
3825564,"laliga4184",2.28,0.18,1.01,1.23073824244037,1.04706963905263
3825566,"laliga4185",2.86,-0.15,1.07,1.35534722711026,1.50110907828389
266236,"laliga4186",3.09,-1.11,1.13,0.988498958775672,2.09925520763257
3825568,"laliga4187",2.47,-0.2,1.04,1.1340300268181,1.33717486933042
3825569,"laliga4188",2.34,-0.38,1.07,0.978178572569039,1.359021282662
3825567,"laliga4189",3.27,-1.81,1.09,0.72746686880634,2.53803123659804
3825570,"laliga4190",2.14,0.59,1.11,1.36190244290965,0.77605326818326
3825571,"laliga4191",2.49,1.06,1.07,1.77664926096698,0.71234544068959
267422,"laliga4192",3.51,2.45,0.9,2.98352324220457,0.529874269690761
3825574,"laliga4193",2.95,1.28,1.07,2.1170170989576,0.837007347761289
3825572,"laliga4194",3.79,2.55,0.87,3.17224662596813,0.620977183903619
3825573,"laliga4195",2.36,0.81,1.13,1.58652782454594,0.774755157882163
3825578,"laliga4196",2.16,-0.3,1.05,0.928495171700775,1.23251520855266
3825577,"laliga4197",2.21,0.43,1.07,1.32066068306297,0.889869528270012
3825575,"laliga4198",2.25,0.69,1.02,1.46568011231737,0.779495868079646
3825579,"laliga4199",2.42,0.09,1.09,1.25491935046768,1.16938504914996
3825576,"laliga4200",2.8,1.31,1.14,2.05783658165742,0.746345612116834
3825580,"laliga4201",2.53,-0.52,1.07,1.00899743829918,1.52537612285575
266166,"laliga4202",2.5,-0.14,1.14,1.17929523527282,1.31923012996158
3825582,"laliga4203",2.48,0.24,1.09,1.35945033801393,1.11981642858168
3825581,"laliga4204",3.29,-1.65,1.13,0.821419940565657,2.47319844592934
3825583,"laliga4205",2.42,-0.27,1.1,1.07572118121878,1.34546864766855
3825587,"laliga4206",2.5,1.15,1.12,1.82607402199066,0.67764005844485
3825585,"laliga4207",2.78,1.22,1.09,1.99980546298346,0.77891734690128
3825584,"laliga4208",2.32,-0.27,1.07,1.02445052073138,1.296147772219
3825586,"laliga4209",2.39,0.72,1.06,1.55081458949873,0.834597013770627
3825588,"laliga4210",2.72,0.29,1.09,1.50604250509621,1.21494833511882
3825589,"laliga4211",2.2,0.05,1.07,1.12787306896353,1.073683951163
3825593,"laliga4212",2.31,-0.81,1.13,0.747642176262629,1.56089966089363
3825590,"laliga4213",4.12,2.86,0.86,3.48749002964121,0.627568389080535
3825592,"laliga4214",2.37,0.73,1.04,1.55016859491044,0.820267235030936
3825591,"laliga4215",2.89,1.24,1.02,2.06541715281785,0.821538320939644
266490,"laliga4216",4.12,2.87,0.98,3.49135456723254,0.625545865139879
3825596,"laliga4217",2.28,0.71,1.07,1.49676983364741,0.787506865249383
3825597,"laliga4218",2.8,0.49,1.04,1.64489683864848,1.15067401321408
3825594,"laliga4219",2.95,0.67,1.08,1.80951482957688,1.1376832927364
