"match_id","id","total_goals","supremacy","phi","cov_lambda","fit_error","expH","expA"
3753982,"premier692",2.39,0.23,0.3,0.1,6.88502785958413e-08,1.31,1.08
3753983,"premier485",2.87,-0.75,0.24,0.11,5.83156703125288e-08,1.06,1.81
3753984,"premier414",2.99,1.34,0.19,0.28,3.22608934524548e-07,2.16,0.82
3753985,"premier389",2.54,-0.46,0.28,0.07,5.84262634743545e-08,1.04,1.5
3753986,"premier701",2.73,0.93,0.25,0.18,6.25449481077633e-08,1.83,0.9
3753987,"premier402",2.83,0.07,0.28,0.1,4.80179487203396e-08,1.45,1.38
3753988,"premier669",2.37,0.48,0.28,0.12,1.39494080936558e-07,1.42,0.94
3753989,"premier750",2.93,0.68,0.25,0.06,6.59230081029443e-08,1.8,1.12
3753990,"premier725",2.9,-0.95,0.23,0.06,1.01689543303757e-07,0.97,1.92
3753991,"premier655",2.67,-0.04,0.28,0.09,2.55298853373161e-08,1.32,1.36
3753992,"premier746",2.89,0.35,0.28,0.11,4.74692610746225e-08,1.62,1.27
3753993,"premier393",2.37,-0.05,0.29,0.08,2.68857516837935e-08,1.16,1.21
3753994,"premier755",3.01,1.37,0.14,0.32,8.53535370822388e-08,2.19,0.82
3753995,"premier453",2.72,0.75,0.25,0.12,8.5457897480149e-08,1.74,0.99
3753996,"premier501",2.94,1.29,0.19,0.23,4.77450993536555e-08,2.11,0.83
3753997,"premier618",2.46,0.67,0.28,0.13,5.09960077508849e-08,1.56,0.89
3753998,"premier568",2.44,-0.36,0.29,0.08,5.91792256799778e-08,1.04,1.4
3753999,"premier467",2.92,-1.14,0.22,0.09,1.25191466857869e-07,0.89,2.03
3754000,"premier496",2.61,-0.72,0.24,0.06,1.10393181421099e-07,0.94,1.67
3754001,"premier444",2.8,-0.98,0.23,0.05,4.97931377189356e-08,0.91,1.89
3754002,"premier673",2.89,1.07,0.22,0.1,1.10799991847929e-07,1.98,0.91
3754003,"premier424",2.49,0.62,0.29,0.13,6.19980871734868e-08,1.55,0.94
3754004,"premier592",2.54,0.62,0.27,0.14,4.98347096696018e-09,1.58,0.96
3754005,"premier657",2.55,0.48,0.28,0.13,5.46694400519854e-08,1.51,1.04
3754006,"premier487",2.57,-0.1,0.29,0.09,2.71380157015718e-08,1.23,1.34
